dataset,time (s)
c_single_1000,4.28E-03
c_single_10000,4.22E-02
c_single_100000,4.24E-01
c_single_1000000,4.21E+00
c_multi_1000,5.54E-02
c_multi_10000,5.46E-02
c_multi_100000,5.23E-02
c_multi_1000000,3.03E-01
java_single_1000,2.36E-03
java_single_10000,1.78E-02
java_single_100000,1.68E-01
java_single_1000000,1.68E+00
java_multi_1000,1.34E-01
java_multi_10000,1.34E-01
java_multi_100000,1.39E-01
java_multi_1000000,2.31E-01
python_single_1000,3.04E-02
python_single_10000,3.31E-01
python_single_100000,3.30E+00
python_single_1000000,3.26E+01
python_multi_1000,1.42E-01
python_multi_10000,4.19E-01
python_multi_100000,3.15E+00
python_multi_1000000,3.13E+01
