dataset,time (s)
$c-single-1000$,0.004278666667
$c-single-10000$,0.04215633333
$c-single-100000$,0.4235763333
$c-single-1000000$,4.208722
$c-single-10000000$,42.208701
$c-multi-1000$,0.05541533333
$c-multi-10000$,0.05464533333
$c-multi-100000$,0.052294
$c-multi-1000000$,0.3025
$c-multi-10000000$,3.029455667
$c-multi-100000000$,31.49357733
$c-multi-o3flag-1000$,0.06073866667
$c-multi-o3flag-10000$,0.058772
$c-multi-o3flag-100000$,0.05815033333
$c-multi-o3flag-1000000$,0.0578
$c-multi-o3flag-10000000$,0.05983066667
$java-single-1000$,0.002364333333
$java-single-10000$,0.017801
$java-single-100000$,0.16765
$java-single-1000000$,1.679487667
$java-single-10000000$,16.81177233
$java-multi-1000$,0.1342653333
$java-multi-10000$,0.13357
$java-multi-100000$,0.1390993333
$java-multi-1000000$,0.2309353333
$java-multi-10000000$,1.362315667
$java-multi-100000000$,12.16584167
$python-single-1000$,0.03042066667
$python-single-10000$,0.3309
$python-single-100000$,3.304376
$python-single-1000000$,32.64472233
$python-single-10000000$,331.5325247
$python-multi-1000$,0.1423733333
$python-multi-10000$,0.419343
$python-multi-100000$,3.145141
$python-multi-1000000$,31.32669567
$python-multi-10000000$,333.4672063
