Computation size,Repeat,Single-threaded,Multi-threaded,Multi-threaded + O3 flag
1000,1,0.004308,0.056621,0.057655
,2,0.004211,0.056549,0.057652
,3,0.004317,0.053076,0.066909
,Average,0.004278666667,0.05541533333,0.06073866667
10000,1,0.04201,0.053033,0.05861
,2,0.042495,0.056113,0.055644
,3,0.041964,0.05479,0.062062
,Average,0.04215633333,0.05464533333,0.058772
100000,1,0.432981,0.052005,0.05882
,2,0.419277,0.051585,0.058871
,3,0.418471,0.053292,0.05676
,Average,0.4235763333,0.052294,0.05815033333
1000000,1,4.185251,0.287954,0.056204
,2,4.197485,0.303981,0.05936
,3,4.24343,0.315565,0.057836
,Average,4.208722,0.3025,0.0578
10000000,1,42.309822,2.872339,0.057806
,2,42.032935,3.041378,0.059855
,3,42.283346,3.17465,0.061831
,Average,42.208701,3.029455667,0.05983066667
100000000,1,,30.116101,
,2,,31.816076,
,3,,32.548555,
,Average,,31.49357733,
