Computation size,Repeat,Single-threaded,Multi-threaded
1000,1,0.002473,0.132203
,2,0.00224,0.132893
,3,0.00238,0.1377
,Average,0.002364333333,0.1342653333
10000,1,0.017954,0.129038
,2,0.017954,0.130714
,3,0.017495,0.140958
,Average,0.017801,0.13357
100000,1,0.168139,0.138044
,2,0.168378,0.14234
,3,0.166433,0.136914
,Average,0.16765,0.1390993333
1000000,1,1.678332,0.227541
,2,1.668823,0.222082
,3,1.691308,0.243183
,Average,1.679487667,0.2309353333
10000000,1,16.860517,1.339528
,2,16.813035,1.389371
,3,16.761765,1.358048
,Average,16.81177233,1.362315667
100000000,1,,12.17278
,2,,12.000511
,3,,12.324234
,Average,,12.16584167
