Computation size,Repeat,Single-threaded,Multi-threaded
1000,1,0.030572,0.141932
,2,0.030249,0.142748
,3,0.030441,0.14244
,Average,0.03042066667,0.1423733333
10000,1,0.329752,0.416306
,2,0.32444,0.420946
,3,0.338508,0.420777
,Average,0.3309,0.419343
100000,1,3.331551,3.137865
,2,3.24767,3.133793
,3,3.333907,3.163765
,Average,3.304376,3.145141
1000000,1,32.261875,31.343857
,2,32.485481,31.253618
,3,33.186811,31.382612
,Average,32.64472233,31.32669567
10000000,1,336.680613,337.351581
,2,328.834883,332.511223
,3,329.082078,330.538815
,Average,331.5325247,333.4672063
